,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.0,1518.15,52.02,0.7,17.49,7.44,10.17,10.86,0.0,1.96,0.13,0.0,9.02,68.3,22.48,0.01,151.0
1,1.0,1543.0,55.27,0.6,18.32,6.05,4.75,11.46,0.0,1.6,0.07,1.19,62.65,0.0,35.9,1.45,714.0
2,1.0,1623.0,76.3,0.11,13.2,0.76,0.07,0.56,0.0,5.32,4.72,0.0,63.53,0.0,36.47,0.0,186.0
3,1.0,1543.0,54.66,0.73,18.69,2.27,4.7,12.05,0.0,1.95,1.4,3.55,63.23,0.0,36.23,0.54,828.0
4,1.0,1523.0,75.6,0.11,13.0,0.73,0.07,0.57,0.0,4.19,4.74,0.0,63.53,0.0,36.47,0.0,172.0
5,1.0,1523.0,58.9,0.79,15.9,7.71,1.96,5.57,0.0,3.95,1.96,3.5,63.53,0.0,36.47,0.0,723.0
6,1.0,1523.0,73.6,0.1,12.5,0.78,0.07,0.54,0.0,3.49,4.55,6.1,63.53,0.0,36.47,0.0,373.0
7,1.0,1543.0,52.82,0.58,19.48,5.47,4.95,12.05,0.0,1.64,0.07,2.43,62.74,0.0,35.95,1.31,705.0
8,1.5,1523.15,50.79,1.79,14.67,10.75,6.19,8.83,0.0,2.66,0.0,0.0,50.12,14.61,34.29,0.0,912.0
9,0.0,1518.15,51.59,0.62,15.78,8.28,11.1,10.04,0.0,1.35,0.13,0.0,11.47,63.56,24.97,0.0,271.0
10,0.0,1518.15,51.94,0.67,16.93,7.44,10.65,10.49,0.0,1.62,0.13,0.0,26.92,43.29,28.91,0.0,477.0
11,1.0,1573.0,77.9,0.11,13.0,0.71,0.08,0.59,0.0,3.81,4.61,0.0,63.53,0.0,36.47,0.0,182.0
12,1.0,1523.0,72.6,0.1,12.3,0.97,0.0,0.55,0.0,3.37,4.02,4.2,63.53,0.0,36.47,0.0,595.0
13,1.0,1673.0,63.7,0.52,17.6,4.77,1.7,5.36,0.0,4.45,1.78,0.0,63.53,0.0,36.47,0.0,697.0
14,0.0,1518.15,51.76,0.65,16.86,7.81,10.79,10.42,0.0,1.5,0.12,0.0,26.19,44.93,27.45,0.0,589.0
15,0.0,1518.15,54.4,0.65,16.9,4.69,12.03,10.57,0.0,1.03,0.11,0.0,57.86,9.05,30.06,0.0,592.0
16,0.0,1518.15,52.26,0.59,16.84,7.42,8.82,10.3,0.0,1.95,0.12,0.0,9.91,67.5,22.42,0.0,170.0
17,1.0,1573.0,60.0,0.83,15.9,8.06,2.02,5.63,0.0,4.06,2.0,0.0,63.1,0.63,34.2,2.22,768.0
18,1.0,1623.0,62.1,0.52,17.8,4.59,1.7,5.34,0.0,5.91,1.8,0.0,63.53,0.0,36.47,0.0,546.0
19,3.0,1693.15,60.78,0.83,17.38,4.99,3.19,6.09,0.0,4.16,1.2,0.44,63.43,0.0,36.57,0.0,500.0
20,1.5,1673.15,54.45,1.39,13.96,7.1,5.39,6.74,0.0,3.31,3.2,0.0,59.79,1.7,36.38,2.14,744.0
21,1.0,1543.0,54.5,0.61,17.6,6.3,4.67,11.6,0.0,1.68,0.08,1.19,62.61,0.0,35.87,1.51,660.0
22,2.0,1693.15,60.78,0.83,17.38,5.4,3.19,6.09,0.0,4.16,1.2,0.44,63.53,0.0,36.47,0.0,900.0
23,2.0,1613.15,60.78,0.83,17.38,5.4,3.19,6.09,0.0,4.16,1.2,0.44,63.53,0.0,36.47,0.0,500.0
24,1.0,1723.0,75.7,0.1,13.1,0.79,0.07,0.57,0.0,5.27,4.73,0.0,63.53,0.0,36.47,0.0,499.0
25,1.0,1523.0,63.4,0.52,17.7,4.59,1.79,5.46,0.0,4.43,1.75,0.0,63.53,0.0,36.47,0.0,466.0
26,1.0,1573.0,63.2,0.54,17.8,4.95,1.77,5.44,0.0,5.17,1.78,0.0,63.53,0.0,36.47,0.0,438.0
27,1.0,1523.0,64.1,0.61,16.4,5.19,2.0,4.78,0.0,4.45,1.98,0.0,63.53,0.0,36.47,0.0,482.0
28,0.0,1636.15,50.0,0.35,10.6,11.4,16.6,9.37,0.42,0.14,0.03,0.0,14.0,56.4,30.4,0.0,620.0
29,0.0,1673.15,66.9,0.0,15.1,2.99,4.7,10.3,0.0,0.0,0.0,0.0,63.53,0.0,36.47,0.0,920.0
30,0.0,1518.15,51.98,0.71,17.99,6.39,8.65,11.1,0.0,1.88,0.15,0.0,13.85,61.46,24.56,0.0,163.0
31,1.0,1523.0,75.6,0.11,13.0,0.7,0.07,0.56,0.0,4.17,4.71,0.0,63.53,0.0,36.47,0.0,155.0
32,1.0,1523.0,75.7,0.12,13.0,0.59,0.0,0.55,0.0,3.99,4.75,0.0,63.53,0.0,36.47,0.0,143.0
33,1.5,1473.15,51.54,1.92,15.46,11.71,4.57,7.99,0.0,2.98,0.0,0.0,46.06,19.75,34.01,0.0,768.0
34,0.0,1576.15,48.8,0.0,17.1,3.42,10.1,19.0,0.0,0.0,0.0,0.0,5.42,71.9,21.8,0.0,240.0
35,1.0,1423.0,76.6,0.1,12.7,0.87,0.07,0.54,0.0,3.66,4.67,0.0,63.53,0.0,36.47,0.0,96.0
36,0.0,1518.15,51.72,0.69,17.35,7.96,8.36,10.93,0.0,1.97,0.14,0.0,2.16,77.48,20.36,0.0,90.0
37,9.0,2073.15,49.35,1.66,16.6,6.27,10.39,10.68,0.0,2.23,0.6,0.0,63.53,0.0,36.47,0.0,615.0
38,0.0,1518.15,54.86,0.61,15.43,5.71,11.92,9.36,0.0,1.28,0.09,0.0,37.06,32.2,28.3,0.0,288.0
39,0.0,1518.15,51.64,0.62,16.27,7.94,11.07,10.31,0.0,1.77,0.15,0.0,11.89,64.9,23.06,0.0,267.0
40,1.0,1523.0,75.5,0.12,12.9,0.73,0.08,0.55,0.0,4.23,4.62,0.0,63.53,0.0,36.47,0.0,144.0
41,1.0,1523.0,72.9,0.1,12.4,1.02,0.07,0.54,0.0,3.37,4.54,2.9,63.53,0.0,36.47,0.0,326.0
42,2.0,1573.15,54.38,1.19,14.71,11.11,4.58,8.01,0.0,2.67,1.14,0.0,63.53,0.0,36.47,0.0,900.0
43,0.0,1623.15,59.1,0.0,16.5,3.2,16.0,3.2,0.01,2.3,0.0,0.0,50.7,11.2,38.3,0.0,800.0
44,1.0,1423.0,77.2,0.11,12.9,0.88,0.07,0.53,0.0,3.83,4.7,0.0,63.53,0.0,36.47,0.0,80.0
45,1.5,1673.15,58.62,0.0,11.27,4.58,11.62,11.99,0.0,0.0,0.0,0.0,31.39,35.99,32.19,0.42,618.11
46,1.5,1673.15,60.64,0.56,16.75,5.47,3.15,5.98,0.0,3.74,1.14,0.0,56.96,2.62,38.72,1.7,884.66
47,1.0,1523.0,59.7,0.8,15.9,8.25,1.97,5.6,0.0,4.05,2.01,0.0,63.53,0.0,36.47,0.0,700.0
48,1.0,1543.0,53.49,1.12,16.65,4.44,3.31,9.83,0.0,2.7,6.25,1.31,62.9,0.0,36.04,1.07,842.0
49,0.0,1518.15,52.26,0.59,16.84,7.42,8.82,10.3,0.0,1.95,0.12,0.0,9.21,67.48,22.21,0.01,194.0
50,1.5,1673.15,51.1,0.82,15.96,5.05,11.82,12.3,0.0,1.82,0.15,0.0,32.01,34.23,33.41,0.35,825.9
51,1.0,1523.0,63.8,0.54,17.8,4.68,1.63,5.22,0.0,4.29,1.82,8.5,63.53,0.0,36.47,0.0,316.0
52,1.0,1523.0,75.0,0.11,12.8,0.85,0.0,0.55,0.0,3.83,4.58,0.0,63.53,0.0,36.47,0.0,181.0
53,1.0,1523.0,59.0,0.79,15.6,7.8,1.93,5.54,0.0,3.91,1.94,2.1,63.53,0.0,36.47,0.0,615.0
54,0.0,1574.15,48.8,0.0,17.4,5.18,10.1,18.7,0.0,0.0,0.0,0.0,6.12,70.7,22.8,0.0,160.0
