,0
0,761.12555
1,149.08984
2,825.5434
3,163.4375
4,679.1268
5,728.04803
6,721.7163
7,520.83875
8,1899.7327
9,834.68665
10,1080.8478
11,775.5325
12,812.2231
13,167.21263
14,3842.9194
15,549.1869
16,797.4431
17,802.86505
18,419.46036
19,477.87866
20,698.8549
21,857.46295
22,210.95972
23,786.5057
24,467.46152
25,2082.857
26,686.8948
27,820.9777
28,729.60004
29,969.35504
30,1607.607
31,817.8036
32,286.0991
33,5372.584
34,6890.6816
35,4496.4463
36,4273.6616
37,4754.235
38,4902.28
39,4061.144
40,3287.6328
41,5548.242
42,3180.2888
43,3368.6575
44,4980.0923
45,5039.1895
46,2726.9304
47,3865.0361
48,4488.663
49,4184.9805
50,2128.083
51,1155.3989
52,1958.6007
53,1852.1536
54,1354.379
55,1540.9908
56,1962.5167
57,1701.5652
58,1965.1769
59,2734.1284
60,2625.9692
61,1358.4882
62,1927.9491
63,2012.3275
64,2068.8474
65,1426.4662
66,1331.8917
67,2162.572
68,1226.2007
69,2068.8474
70,1924.1704
71,2010.5508
72,1965.1769
73,1930.3663
74,2588.664
75,2410.7434
76,2110.4163
77,2249.0103
78,3303.776
79,1943.926
80,2678.8875
81,4339.163
82,5315.186
83,4512.9053
84,6011.179
85,5922.923
86,6066.9165
87,4767.4717
88,2150.9912
89,4379.796
90,3385.8555
91,3091.5269
92,4102.6797
93,4112.67
94,2821.3425
95,2315.2727
96,3155.1833
97,1700.3082
98,2470.352
99,2955.1006
100,2678.2322
101,3304.4875
102,2109.4556
103,1615.247
104,1545.3329
105,1890.3469
106,1182.7166
107,3184.4543
108,1651.18
109,1377.2102
110,1484.9536
111,1672.2896
112,867.9263
113,1166.6207
114,1110.08
115,4304.425
116,1283.6957
117,1296.943
118,1054.385
119,1369.3187
120,1597.9994
121,1148.9258
122,1382.5302
123,781.9976
124,1816.4584
125,1357.7347
126,2105.7979
127,996.7019
128,2442.7124
129,1680.7402
130,1278.4792
131,1209.0298
132,2053.4814
133,1782.8229
134,1346.2216
135,1120.8639
136,1207.4403
137,1570.5697
138,828.44415
139,2231.3735
140,1416.6735
141,2041.7816
142,1341.9844
143,6031.842
144,6152.066
145,5648.757
146,7308.5303
147,5757.013
148,5968.7837
149,4843.6694
150,3773.0361
151,4978.5996
152,3840.3904
153,3004.482
154,3026.03
155,3724.8823
156,4725.162
157,4470.9883
158,4125.44
159,3796.4683
160,4235.6523
161,4185.1216
162,3779.16
163,4650.756
164,3773.5393
