,0
0,150.99992
1,713.9998
2,186.0
3,828.00037
4,171.9994
5,722.99994
6,373.0003
7,705.0
8,912.00037
9,271.00052
10,477.00027
11,182.00015
12,594.9994
13,696.9998
14,588.9992
15,591.9995
16,170.00099
17,767.9999
18,545.99945
19,499.99942
20,744.0004
21,659.99994
22,900.00226
23,499.99985
24,499.00015
25,465.99976
26,438.00122
27,482.0
28,620.0
29,920.00037
30,163.0004
31,155.00003
32,143.00072
33,767.9996
34,239.99988
35,96.00026
36,90.00023
37,615.0001
38,288.00015
39,266.99957
40,144.00073
41,326.00024
42,900.00116
43,800.0004
44,80.0005
45,618.11035
46,884.66003
47,700.0003
48,842.0006
49,193.99945
50,825.8997
51,316.00012
52,180.99963
53,615.0003
54,160.00055
55,577.0002
56,452.00015
57,310.0
58,534.0005
59,480.00064
60,182.00023
61,725.99994
62,643.9999
63,121.00004
64,323.00052
65,833.99854
66,776.00024
67,180.00043
68,477.00015
69,663.00006
70,514.2201
71,350.00027
72,921.00055
73,364.99997
74,292.66995
75,505.99985
76,5418.0
77,4533.0
78,5350.0
79,4464.9995
80,4557.47
81,4960.0
82,4665.0015
83,4754.9995
84,4636.9995
85,4999.9995
86,4799.999
87,5337.0
88,5026.998
89,4551.0
90,4970.1997
91,4900.0
92,4921.0005
93,4408.8
94,4380.0005
95,4896.0
96,5220.0
97,4458.0
98,5222.999
99,5027.998
100,4700.0
101,4415.9995
102,4700.0
103,4896.9995
104,4563.3306
105,4844.9497
106,4672.98
107,4900.0
108,4600.0
109,4992.0
110,4800.0
111,4749.0
112,5315.998
113,4613.0005
114,4570.0
115,2106.0002
116,1882.9985
117,1800.0
118,2077.4995
119,1740.0002
120,1874.9995
121,1903.9993
122,2400.0
123,1899.9993
124,2121.17
125,2417.0
126,1736.9998
127,2112.9397
128,1989.9998
129,2045.1608
130,2402.2
131,2400.0
132,1950.75
133,2219.9983
134,2003.3998
135,2499.9995
136,1967.9984
137,2020.7898
138,2390.0
139,2023.5797
140,1752.0005
141,2252.3704
142,2191.75
143,1730.0006
144,2275.1191
145,2130.0
146,1785.9999
147,1789.0001
148,2029.9995
149,1856.0009
150,2126.0012
151,2183.649
152,2054.0002
153,1940.0002
154,2170.0
155,2299.9995
156,1993.9999
157,1872.9999
158,2328.7195
159,1910.0007
160,1777.9995
161,1769.9999
162,2049.9998
163,1817.6902
164,2145.9502
165,2200.0005
166,2266.0012
167,2230.0002
168,2247.0002
169,2490.0002
170,2504.0
171,2300.08
172,2532.9998
173,2150.0
174,1808.3804
175,2387.9998
176,2165.0
177,1799.9998
178,2257.5803
179,2377.0
180,2499.9993
181,2088.2004
182,2384.9995
183,2125.9995
184,1810.0004
185,1855.0001
186,2519.998
187,8445.0
188,7036.9995
189,7647.9995
190,7778.698
191,7899.999
192,7566.0
193,7423.9995
194,7088.9995
195,8104.7
196,7954.0693
197,8912.999
198,7993.4795
199,9018.997
200,3320.0
201,2941.5
202,3353.5598
203,3399.9998
204,3005.0
205,3097.0
206,3284.4502
207,3314.05
208,2910.0002
209,2886.0002
210,3370.0
211,2829.0
212,3349.0
213,2963.0
214,3400.0
215,2700.0002
216,3199.0002
217,3010.9998
218,2749.9998
219,2758.549
220,2852.8298
221,3379.0403
222,2567.0002
223,2677.0002
224,3269.999
225,3300.0012
226,2599.9998
227,3034.0002
228,2785.7498
229,2950.9993
230,2716.0007
231,2756.3303
232,2800.0
233,3125.0015
234,2870.0002
235,2928.0002
236,2799.9998
237,1432.9995
238,1019.9999
239,1199.9995
240,1642.0001
241,1378.0006
242,1424.9991
243,1309.9998
244,1166.9998
245,1711.0
246,1477.0002
247,1082.9999
248,1373.9995
249,1644.3602
250,1264.9985
251,1137.0
252,1230.9999
253,1400.0002
254,1621.9999
255,1245.9999
256,1566.9999
257,1683.001
258,1180.0
259,1354.9996
260,1180.0001
261,1344.9999
262,1184.0001
263,1700.0007
264,1588.0
265,1400.0
266,1639.9999
267,1100.0001
268,1443.0399
269,1544.9995
270,1402.0002
271,1676.6201
272,1489.0001
273,968.70996
274,1417.0011
275,1211.0001
276,1327.9984
277,1213.9999
278,1700.0001
279,1070.0002
280,1551.9979
281,1449.9999
282,1254.9998
283,1264.0
284,1610.0004
285,1408.9999
286,1580.0004
287,1367.1204
288,1010.00024
289,1400.0002
290,1220.0006
291,1335.0005
292,1100.0001
293,1417.0002
294,1053.0002
295,1496.0002
296,1069.0006
297,1399.9983
298,1600.0005
299,1725.0004
300,1385.9996
301,1601.0001
302,1399.9996
303,1300.0
304,1695.8604
305,1560.7415
306,1455.0002
307,1570.0006
308,1433.999
309,1576.0004
310,1466.0
311,1500.0002
312,1499.999
313,1214.0004
314,1645.9999
315,1150.9996
316,1479.9998
317,1380.4705
318,1256.0005
319,1399.9999
320,1398.0
321,959.99976
322,1400.0006
323,1164.8003
324,1635.0
325,1100.0006
326,1283.9998
327,1209.7302
328,1500.0005
329,6244.0
330,6051.999
331,6135.7207
332,6272.9995
333,6790.3193
334,5899.7407
335,6416.9985
336,5539.999
337,5945.0
338,5864.0
339,5789.29
340,5589.0
341,6072.32
342,5654.9995
343,5851.9995
344,4040.85
345,4110.0
346,3568.0
347,4292.9995
348,3602.001
349,4199.9995
350,4300.0005
351,4099.9995
352,3999.0
353,4130.0
354,4027.0005
355,3644.0
356,3718.74
357,3611.0002
358,4200.79
359,4143.999
360,3800.89
361,4012.0002
362,3941.0
363,3800.0002
364,3699.9998
365,3909.0002
366,3703.0002
367,4357.59
368,3657.9995
369,3776.0002
370,4053.9998
371,4009.9985
372,3598.57
373,3782.0005
374,4100.0
375,3500.0
376,3907.9998
